SAAM Person,URI in SAAM,URI in DBPedia,URI found by karma,matched, ,No.1,No.2,No.3,No.4,No.5 ,,,
http://americanart.si.edu/saam/Person_4809,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_4809,http://dbpedia.org/resource/Alessandro_Tiarini,http://dbpedia.org/resource/Alessandro_Tiarini,0.99955491, same," [0.99955491]	(1.00000000|0.99966073== 1668 | 1668) 	(1.00000000|0.99989485== 1577 | 1577) 	(1.00000000|0.99999930== Alessandro Tiarini | Alessandro Tiarini) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.87142861|0.99997610== Alessandro Tiarini | Alessandro Molinari) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== 1577 | ----) 	(0.85294116|0.99997610== Alessandro Tiarini | Alessandro Sartori) ",,,,,
http://americanart.si.edu/saam/Person_6384,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_6384,http://dbpedia.org/resource/Antoine_Coypel,http://dbpedia.org/resource/Antoine_Coypel,0.99954968, same," [0.99954968]	(1.00000000|0.99969492== 1722 | 1722) 	(1.00000000|0.99985542== 1661 | 1661) 	(1.00000000|0.99999930== Antoine Coypel | Antoine Coypel) ",,,,,,,
http://americanart.si.edu/saam/Person_5108,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_5108,http://dbpedia.org/resource/Anthony_van_Dyck,http://dbpedia.org/resource/Anthony_van_Dyck,0.99954076, same," [0.99954076]	(1.00000000|0.99966599== 1641 | 1641) 	(1.00000000|0.99987693== 1599 | 1599) 	(0.98319328|0.99999780== Sir Anthony van Dyck | Anthony van Dyck) ",,,,,,,
http://americanart.si.edu/saam/Person_6348,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_6348,http://dbpedia.org/resource/Andrea_Appiani,http://dbpedia.org/resource/Andrea_Appiani,0.99882923, same," [0.99882923]	(1.00000000|0.99924781== 1817 | 1817) 	(1.00000000|0.99958180== 1754 | 1754) 	(1.00000000|0.99999930== Andrea Appiani | Andrea Appiani) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.85185188|0.99997610== Andrea Appiani | Andrea) ",,,,,,
http://americanart.si.edu/saam/Person_730,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_730,http://dbpedia.org/resource/Antonio_Canova,http://dbpedia.org/resource/Antonio_Canova,0.99876707, same," [0.99876707]	(1.00000000|0.99916891== 1822 | 1822) 	(1.00000000|0.99959853== 1757 | 1757) 	(1.00000000|0.99999930== Antonio Canova | Antonio Canova) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.85714287|0.99997610== Antonio Canova | Antonio Catalani) ",,,,,,
http://americanart.si.edu/saam/Person_1313,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_1313,http://dbpedia.org/resource/Amos_Doolittle,http://dbpedia.org/resource/Amos_Doolittle,0.99841123, same," [0.99841123]	(1.00000000|0.99882964== 1832 | 1832) 	(1.00000000|0.99958180== 1754 | 1754) 	(1.00000000|0.99999930== Amos Doolittle | Amos Doolittle) ",,,,,,,
http://americanart.si.edu/saam/Person_6091,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_6091,http://dbpedia.org/resource/Antonio_Basoli,http://dbpedia.org/resource/Antonio_Basoli,0.99826145, same," [0.99826145]	(1.00000000|0.99873233== 1848 | 1848) 	(1.00000000|0.99952923== 1774 | 1774) 	(1.00000000|0.99999930== Antonio Basoli | Antonio Basoli) ",,,,,,,
http://americanart.si.edu/saam/Person_34,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_34,http://dbpedia.org/resource/Alfred_Thomas_Agate,http://dbpedia.org/resource/Alfred_Thomas_Agate,0.99775577, same," [0.99775577]	(1.00000000|0.99880071== 1846 | 1846) 	(1.00000000|0.99895451== 1812 | 1812) 	(1.00000000|0.99999930== Alfred Agate | Alfred Agate) "," [0.00172301]	(0.00000000|0.03772000== 1846 | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.87500000|0.99997610== Alfred Agate | Alfred) ",,,,,,
http://americanart.si.edu/saam/Person_27421,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_27421,http://dbpedia.org/resource/Alexandre-Gabriel_Decamps,http://dbpedia.org/resource/Alexandre-Gabriel_Decamps,0.99757926, same," [0.99757926]	(1.00000000|0.99839831== 1860 | 1860) 	(1.00000000|0.99918034== 1803 | 1803) 	(1.00000000|0.99999930== Alexandre-Gabriel Decamps | Alexandre-Gabriel Decamps) ",,,,,,,
http://americanart.si.edu/saam/Person_91,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_91,http://dbpedia.org/resource/Alexander_Anderson_(illustrator),http://dbpedia.org/resource/Alexander_Anderson_(illustrator),0.99745565, same," [0.99745565]	(1.00000000|0.99801696== 1870 | 1870) 	(1.00000000|0.99944320== 1775 | 1775) 	(1.00000000|0.99999437== Alexander Anderson | Alexander Anderson) "," [0.00172304]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.95161289|0.99999670== Alexander Anderson | Alexander Aaron) "," [0.00172304]	(0.00000000|0.03772000== 1870 | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.95999998|0.99999670== Alexander Anderson | Alexander) "," [0.00172304]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.95999998|0.99999670== Alexander Anderson | Alexander) "," [0.00172304]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.95999998|0.99999670== Alexander Anderson | Alexander) ",,,
