"person","name","birthdate","birthplace","deathdate","deathplace"
"http://collection.cartermuseum.org/id/person-institution/albert_ruger","Albert Ruger","1828","Germany","1899","Akron, Ohio"
"http://collection.cartermuseum.org/id/person-institution/francis_blackwell_mayer","Francis Blackwell Mayer","1827","Baltimore, Maryland","1899","Annapolis, Maryland"
"http://collection.cartermuseum.org/id/person-institution/alfred_jacob_miller","Alfred Jacob Miller","1810","Baltimore, Maryland","1874","Baltimore, Maryland"
"http://collection.cartermuseum.org/id/person-institution/edward_sachse","Edward Sachse","1804","Gorlitz, Germany","1873","Baltimore, Maryland"
"http://collection.cartermuseum.org/id/person-institution/john_h.b._latrobe","John H.B. Latrobe","1803","Philadelphia, Pennsylvania","1891","Baltimore, Maryland"
"http://collection.cartermuseum.org/id/person-institution/karl_bodmer","Karl Bodmer","1809","Riesbach, Switzerland","1893","Barbizon, France"
"http://collection.cartermuseum.org/id/person-institution/george_henry_goddard","George Henry Goddard","1817","Bristol, England","1906","Berkeley, California"
"http://collection.cartermuseum.org/id/person-institution/laton_a._huffman","Laton A. Huffman","1854","Castalia, Iowa","1931","Billings, Montana"
"http://collection.cartermuseum.org/id/person-institution/james_goodwyn_clonney","James Goodwyn Clonney","1812","Liverpool, England","1867","Binghamton, New York"
"http://collection.cartermuseum.org/id/person-institution/erwin_e._smith","Erwin E. Smith","1886","Honey Grove, Texas","1947","Bonham, Texas"
"http://collection.cartermuseum.org/id/person-institution/dennis_miller_bunker","Dennis Miller Bunker","1861","New York, New York","1890","Boston, Massachusetts"
"http://collection.cartermuseum.org/id/person-institution/william_constable","William Constable","1783","Horley, England","1861","Brighton, England"
"http://collection.cartermuseum.org/id/person-institution/francis_william_edmonds","Francis William Edmonds","1806","Hudson, New York","1863","Bronxville, New York"
"http://collection.cartermuseum.org/id/person-institution/andrew_j._russell","Andrew J. Russell","1830","Nunda, New York","1902","Brooklyn, New York"
"http://collection.cartermuseum.org/id/person-institution/henry_farrer","Henry Farrer","1844","London, England","1903","Brooklyn, New York"
"http://collection.cartermuseum.org/id/person-institution/john_r._chapin","John R. Chapin","1823","Providence, Rhode Island","1904","Buffalo, New York"
"http://collection.cartermuseum.org/id/person-institution/john_abbot","John Abbot","1751","London, England","1840","Bulloch County, Georgia"
"http://collection.cartermuseum.org/id/person-institution/thomas_ayres","Thomas Ayres","1816","Woodbridge, New Jersey","1858","California"
"http://collection.cartermuseum.org/id/person-institution/fidelia_bridges","Fidelia Bridges","1834","Salem, Massachusetts","1923","Canaan, Connecticut"
"http://collection.cartermuseum.org/id/person-institution/de_scott_evans","De Scott Evans","1847","Boston, Indiana","1898","Cape Sable Island, Nova Scotia, Canada"
"http://collection.cartermuseum.org/id/person-institution/john_james_audubon","John James Audubon","1785","Santo Domingo, Dominican Republic","1851","Carmansville, New York"
"http://collection.cartermuseum.org/id/person-institution/thomas_cole","Thomas Cole","1801","Bolton-le-Moor, England","1848","Catskill, New York"
"http://collection.cartermuseum.org/id/person-institution/n._c._wyeth","N. C. Wyeth","1882","Needham, Massachusetts","1945","Chadds Ford, Pennsylvania"
"http://collection.cartermuseum.org/id/person-institution/albert_sands_southworth","Albert Sands Southworth","1811","West Fairles, Vermont","1894","Charlestown, Massachusetts"
"http://collection.cartermuseum.org/id/person-institution/louise_deshong_woodbridge","Louise Deshong Woodbridge","1848","Chester, Pennsylvania","1925","Chester, Pennsylvania"
"http://collection.cartermuseum.org/id/person-institution/louis_kurz","Louis Kurz","1833","Salzburg, Austria","1921","Chicago, Illinois"
"http://collection.cartermuseum.org/id/person-institution/augustus_saint-gaudens","Augustus Saint-Gaudens","1848","Dublin, Ireland","1907","Cornish, New Hampshire"
"http://collection.cartermuseum.org/id/person-institution/carlotta_m._corpron","Carlotta M. Corpron","1901","Blue Earth, Minnesota","1988","Denton, Texas"
"http://collection.cartermuseum.org/id/person-institution/charles_d._kirkland","Charles D. Kirkland","1857","Bucyrus, Ohio","1926","Denver, Colorado"
"http://collection.cartermuseum.org/id/person-institution/william_g._chamberlain","William G. Chamberlain","1815","Newburyport, Massachusetts","1910","Denver, Colorado"
"http://collection.cartermuseum.org/id/person-institution/charles_h._tremear","Charles H. Tremear","1865","Oshawa, Ontario, Canada","1943","Detroit, Michigan"
"http://collection.cartermuseum.org/id/person-institution/john_mix_stanley","John Mix Stanley","1814","Canandaigua, New York","1872","Detroit, Michigan"
"http://collection.cartermuseum.org/id/person-institution/robert_seldon_duncanson","Robert Seldon Duncanson","1821","Fayette, New York","1872","Detroit, Michigan"
"http://collection.cartermuseum.org/id/person-institution/charles_sheeler","Charles Sheeler","1883","Philadelphia, Pennsylvania","1965","Dobbs Ferry, New York"
"http://collection.cartermuseum.org/id/person-institution/childe_hassam","Childe Hassam","1859","Dorchester, Maine","1935","East Hampton, New York"
"http://collection.cartermuseum.org/id/person-institution/david_octavius_hill","David Octavius Hill","1802","Perth, Scotland","1870","Edinburgh, Scotland"
"http://collection.cartermuseum.org/id/person-institution/richard_george_augustus_levinge","Richard George Augustus Levinge","1811","England","1884","England"
"http://collection.cartermuseum.org/id/person-institution/arthur_b._davies","Arthur B. Davies","1862","Utica, New York","1928","Florence, Italy"
"http://collection.cartermuseum.org/id/person-institution/henry_roderick_newman","Henry Roderick Newman","1843","Easton, New York","1917","Florence, Italy"
"http://collection.cartermuseum.org/id/person-institution/hiram_powers","Hiram Powers","1805","Woodstock, Vermont","1873","Florence, Italy"
"http://collection.cartermuseum.org/id/person-institution/bertha_lum","Bertha Lum","1869","Tipton, Iowa","1954","Genoa, Italy"
"http://collection.cartermuseum.org/id/person-institution/fitz_henry_lane","Fitz Henry Lane","1804","Gloucester, Massachusetts","1865","Gloucester, Massachusetts"
"http://collection.cartermuseum.org/id/person-institution/aaron_draper_shattuck","Aaron Draper Shattuck","1832","Francestown, New Hampshire","1928","Granby, Connecticut"
"http://collection.cartermuseum.org/id/person-institution/charles_m._russell","Charles M. Russell","1864","St. Louis, Missouri","1926","Great Falls, Montana"
"http://collection.cartermuseum.org/id/person-institution/conrad_wise_chapman","Conrad Wise Chapman","1842","Washington, D.C.","1913","Hampton, Virginia"
"http://collection.cartermuseum.org/id/person-institution/george_de_forest_brush","George de Forest Brush","1855","Shelbyville, Tennessee","1941","Hanover, New Hampshire"
"http://collection.cartermuseum.org/id/person-institution/john_sloan","John Sloan","1871","Lock Haven, Pennsylvania","1951","Hanover, New Hampshire"
"http://collection.cartermuseum.org/id/person-institution/charles_herbert_moore","Charles Herbert Moore","1840","New York, New York","1930","Hartfield, England"
"http://collection.cartermuseum.org/id/person-institution/jasper_francis_cropsey","Jasper Francis Cropsey","1823","Rossville, New York","1900","Hastings-on-Hudson, New York"
"http://collection.cartermuseum.org/id/person-institution/lewis_hine","Lewis Hine","1874","Oshkosh, Wisconsin","1940","Hastings-on-Hudson, New York"
"http://collection.cartermuseum.org/id/person-institution/augusto_ferran","Augusto Ferran","1813","Palma, Majorca, Spain","1879","Havana, Cuba"
"http://collection.cartermuseum.org/id/person-institution/bror_julius_olsson_nordfeldt","Bror Julius Olsson Nordfeldt","1878","Tullstorp, Sweden","1955","Henderson, Texas"
"http://collection.cartermuseum.org/id/person-institution/arthur_garfield_dove","Arthur Garfield Dove","1880","Canandaigua, New York","1946","Huntington, New York"
"http://collection.cartermuseum.org/id/person-institution/grant_wood","Grant Wood","1891","Anamosa, Iowa","1942","Iowa City, Iowa"
"http://collection.cartermuseum.org/id/person-institution/john_frederick_peto","John Frederick Peto","1854","Philadelphia, Pennsylvania","1907","Island Heights, New Jersey"
"http://collection.cartermuseum.org/id/person-institution/george_catlin","George Catlin","1796","Wilkes-Barre, Pennsylvania","1872","Jersey City, New Jersey"
"http://collection.cartermuseum.org/id/person-institution/leon_trousset","Leon Trousset","1838","France","1917","Juarez, Mexico"
"http://collection.cartermuseum.org/id/person-institution/george_caleb_bingham","George Caleb Bingham","1811","Virginia","1879","Kansas City, Missouri"
"http://collection.cartermuseum.org/id/person-institution/eadweard_muybridge","Eadweard Muybridge","1830","Kingston-on-Thames, England","1904","Kingston-on-Thames, England"
"http://collection.cartermuseum.org/id/person-institution/george_winter","George Winter","1810","Portsea, England","1876","Lafayette, Louisiana"
"http://collection.cartermuseum.org/id/person-institution/charles_demuth","Charles Demuth","1883","Lancaster, Pennsylvania","1935","Lancaster, Pennsylvania"
